Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#6656,10.1109/TENSYMP52854.2021.9550812,Early Detection of Diabetic Foot Ulcer Using Convolutional Neural Networks,"IEEE; Shata, A; Abdulaziz, N",2021,2021 IEEE REGION 10 SYMPOSIUM (TENSYMP),Diagnosis,Diabetic Foot,Public,NR,NR,Public,Skin iamges,Foot image,Classification: ulcer or healthy ,2000,N/A,CNN,0,5-fold cross validation,80/20' ,"f1=0.813, acc=0.824, prec=0.991, sens=0.692",0,u,l,u,h,h,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
#6660,10.1007/s12559-024-10282-4,DFootNet: A Domain Adaptive Classification Framework for Diabetic Foot Ulcers Using Dense Neural Network Architecture,"Bansal, N; Vidyarthi, A",2024,COGNITIVE COMPUTATION,Diagnosis,Diabetic Foot,Public ,NR,NR,Public,Skin images,Foot image ,Classification: diabetic or normal,493,N/A,Deep neural network,0,10-fold cross validation,90/10',"acc=0.9887, prec=0.9901, recall=0.9873, f1=0.9886",0,u,l,l,u,u,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#6663,10.1109/ICPR56361.2022.9956253,Automatic Foot Ulcer Segmentation Using an Ensemble of Convolutional Neural Networks,"IEEE; Mahbod, A; Schaefer, G; Ecker, R; Ellinger, I",2022,2022 26TH INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION (ICPR),Segmentation,Leg ulcer,Public ,NR,NR,Public,Skin images,Foot image,Segmentation of wound  ,1362 images ,N/A,"Ensemble: Unet, LinkNet ",0,5-fold cross validation,80/20',"DC=0.9207, 0.888",0,u,l,u,h,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,,,,,,,
#6670,10.1117/12.2649913,Wound image segmentation using deep convolutional neural network,"Kang, H; Seo, K; Lee, S; Oh, BH; Yang, S",2023,PHOTONICS IN DERMATOLOGY AND PLASTIC SURGERY 2023,Segmentation,Leg ulcer,Public ,NR,NR ,Public ,Skin image,Foot image,Segmentation of wound  ,NR,N/A,Unet,0,NR,NR,DC=0.90,0,u,l,h,h,h,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,,
#6673,10.1109/ACCESS.2022.3180036,Detection of Diabetes Mellitus With Deep Learning and Data Augmentation Techniques on Foot Thermography,"Anaya-Isaza, A; Zequera-Diaz, M",2022,IEEE ACCESS,Diagnosis,Diabetic Foot,Public ,NR,NR,Public ,Thermogram,"Foot thermogram + clinical points (age, gender, TCI) ",Classification: diabetes vs. not  (asymmetry),167,122,ResNet ,0,5-fold cross validation,80/20',"Acc=0.9461, sens=0.9754, spec=0.8667, f1=0.9636, prec=0.9520",,u,l,l,l,u,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,,,,,,,
#6698,10.1109/JSEN.2024.3377212,PFUTnet: A Novel Deep Learning Architecture for Diabetic Foot Severity Mapping and Analysis,"Sharma, N; Mirza, S; Rastogi, A; Mahapatra, PK; Kumar, D",2024,IEEE SENSORS JOURNAL,Diagnosis,Diabetic foot,"Prospective (randomized, single-blind)",NR,NR,Charts ,Thermogram,Foot thermograms,"Classification: Normal, moderate or severe ",104,71,Custom CNN ,0,NR,80/15/5',"AUC=0.89, acc=0.95",0,l,l,l,u,u,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,,,,,,,
#6706,10.1109/iwssip48289.2020.9145167,Segmentation of plantar foot thermal images: application to diabetic foot diagnosis,"Bouallal, D; Bougrine, A; Douzi, H; Harba, R; Canals, R; Vilcahuaman, L; Arbanil, H",2020,"PROCEEDINGS OF THE 2020 INTERNATIONAL CONFERENCE ON SYSTEMS, SIGNALS AND IMAGE PROCESSING (IWSSIP), 27TH EDITION",Segmentation,Diabetic Foot,2 databases,NR,NR,Public ,Thermogram + Skin image ,,Segmentation of foot,NR,NR,Unet,0,NR,90/10',"Segmentation: IoU=0.9837, DC=0.9917",0,u,l,u,h,h,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
#6708,,Development of Automatic Segmentation Techniques using Convolutional Neural Networks to Differentiate Diabetic Foot Ulcers,"Prakash, RV; Kumar, KS",2022,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,Diagnosis ,Diabetic Foot,Public,NR,NR,Public,Skin image,Foot image,"Classificatio: Infection or not, ischemia or not, diabetic or not",NR,NR,"Ensemble: Bayes, RF, MLP< Inception, ResNet, Inception+ResNet",0,5-fold cross validation,80/20',Not wel recorded,0,u,l,u,h,h,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
#6749,10.1007/s00530-023-01241-4,HCNNet: hybrid convolution neural network for automatic identification of ischaemia in diabetic foot ulcer wounds,"Das, SK; Namasudra, S; Sangaiah, AK",2024,MULTIMEDIA SYSTEMS,Diagnosis,Diabetic foot,Retropsective,NR,NR,NR,Skin iamges,Foot image,Classification: ischemia  ,1459,210,Custom CNN + Squeeze Excitation,0,NR,64/16/20',AUROC=0.999,0,u,l,h,l,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,
#6766,10.1007/s12262-022-03506-0,Deep Learning Model for Predicting the Outcome of Endovascular Abdominal Aortic Aneurysm Repair,"Wang, YG; Zhou, M; Ding, Y; Li, X; Zhou, ZY; Shi, ZY; Fu, WG",2023,INDIAN JOURNAL OF SURGERY,Prognosis ,EVAR   ,Retrospective (single),2016,2019,Charts  ,CT ,CTA of infrarenal EVAR,Segmentation manually. Then train on segmentation to predict adverse events ,493,156,Custom CNN  ,1 (attention maps),5-fold cross validation ,80/20',"AUROC=0.81, acc=0.82, f1=0.87",0,l,l,l,l,l,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#6786,10.3390/math11173793,Deep Learning-Based Classification of Abrasion and Ischemic Diabetic Foot Sores Using Camera-Captured Images,"Khalil, M; Naeem, A; Naqvi, RA; Zahra, K; Muqarib, SA; Lee, SW",2023,MATHEMATICS,Segmentation + Diagnosis ,Diabetic Foot,Public,NR,NR,Public ,Skin image,Skin image,Segmentation via Unet. Classification: Ischemic Or abrasion,2826,1413,"Segmentation: Unet,Classification: VGG" ,0,NR,70/10/20',"acc=0.9905, prec=0.9899, recall=0.9901, correlation coeff=0.9801, f1=0.9904",0,u,l,u,l,u,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,,,,,,,
#6787,10.1016/j.imavis.2023.104809,AESPNet: Attention Enhanced Stacked Parallel Network to improve automatic Diabetic Foot Ulcer identification,"Das, SK; Namasudra, S; Kumar, A; Moparthi, NR",2023,IMAGE AND VISION COMPUTING,Diagnosis,Diabetic Foot,Public ,NR,NR,Multiple experts,Skin image,Foot image,Classification: diabetic foot or not ,397,292,CNN (with spatial and color attention modules),0,NR,80/20',"sens=0.9844, f1=0.98",0,u,l,u,l,u,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,,,,,,,
#6796,10.1117/12.2607877,Multi-institutional evaluation of a deep learning model for fully automated detection of aortic aneurysms in contrast and non-contrast,"Xie, YT; Graf, B; Farzam, P; Baker, B; Lamoureux, C; Sitek, A",2022,MEDICAL IMAGING 2022: COMPUTER-AIDED DIAGNOSIS,Diagnosis,Aortic aneurysms,Retrospective (multi),NR,NR ,NR (segmented by expert),CT ,CT contrasts and non-contrast,Classification: aneurysm or not ,2263,330,NR,0,NR,NR,AUROC=0.95 ,0,u,l,u,h,h,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
#6802,10.3348/kjr.2020.0313,A Three-Dimensional Deep Convotutionat Neural Network for Automatic Segmentation and Diameter Measurement of Type B Aortic Dissection,"Yu, YT; Gao, Y; Wei, JY; Liao, FZ; Xiao, QJ; Zhang, J; Yin, WH; Lu, B",2021,KOREAN JOURNAL OF RADIOLOGY,Segmentation ,Type B Aortic Dissection,Retrospective (single),2016,2019,4 radiologists ,CT ,CT of aorta ,"Segmentation and measurement of aorta, TL and FL. ",139,N/A,3D Unet ,0,NR,85/15',"DC=0.95, MAD=0.147 mm, time reduction=0.26",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,,,,,,,
#6805,10.18280/ts.400428,Utilizing Mask R-CNN for Automated Evaluation of Diabetic Foot Ulcer Healing Trajectories: A Novel Approach,"Sharma, N; Mirza, S; Rastogi, A; Mahapatra, PK",2023,TRAITEMENT DU SIGNAL,Segmentation ,Diabetic foot,"Prospective (randomized, single-blind)",N/A,N/A,Clinicians + software ,Thermogram + skin image ,Of foot ,Segmentation of of wound. Then healing was separate (not ML),42,N/A,Mask-RCNN ,0,NR,NR,Correlation coeff=0.9250,0,l,l,l,h,h,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,,,,,,,
#6873,10.5220/0010868600003124,U-Net-based DFU Tissue Segmentation and Registration on Uncontrolled Dermoscopic Images,"Toledo, Y; Fernandes, LAF; Herold-Garcia, S; Quesada, AP",2022,"PROCEEDINGS OF THE 17TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS (VISAPP), VOL 4",Segmentation,Diabetic Foot,Retrospective (single),2019,2020,1 Expert  ,Skin image ,Skin images of feet,"Segmentation of 6 tssue types: epithelization, granulation, slough, necrotic, background, etc. ",28 (222 images),N/A ,Unet ,0,NR,60/20/20',Not well recorded,0,l,l,l,h,h,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,,,,,,,
#6889,10.3390/diagnostics12081790,Assessing the Accuracy of an Artificial Intelligence-Based Segmentation Algorithm for the Thoracic Aorta in Computed Tomography Applications,"Artzner, C; Bongers, MN; Kärgel, R; Faby, S; Hefferman, G; Herrmann, J; Nopper, SL; Perl, RM; Walter, SS",2022,DIAGNOSTICS,Segmentation+ Quantification,Aorta  + dissections (A/B) ,Retrospective (single),4 days,N/A,2 radop;pgosts ,CT ,CT or CTA of aorta ,Segmentation followed by center line + 9 key landmarks. Then calculated the diameter,120,N/A,Deep Image-to-image network ,0,NR,NR,Correlation coeff=0.879,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,,,,,,,
#6902,10.1007/978-3-031-06381-7_17,Lightweight Encoder-Decoder Architecture for Foot Ulcer Segmentation,"Ali, S; Mahmood, A; Jung, SK",2022,FRONTIERS OF COMPUTER VISION (IW-FCV 2022),Segmentation ,Diabetic Foot,Public,NR,NR,Public,Skin iamges,Foot images ,Segmentation of wound  ,1210,N/A,Unet+ResNet,0,NR,65/17.5/17.5,DC=0.88,0,u,l,u,l,u,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,
#6909,10.3389/fphys.2021.732711,ImageTBAD: A 3D Computed Tomography Angiography Image Dataset for Automatic Segmentation of Type-B Aortic Dissection,"Yao, ZY; Xie, W; Zhang, JW; Dong, YH; Qiu, HL; Yuan, HY; Jia, QJ; Wang, TC; Shi, YY; Zhuang, J; Que, LF; Xu, XW; Huang, MP",2021,FRONTIERS IN PHYSIOLOGY,Segmentation,Type B Aortic Dissection,Retrospective (single),2013,2015,2 radiologists on DSA,CTA ,CTA of whole boy,"Segmentation of TL, FL and FLT ",100,N/A,Unet,0,3-fold cross validation,67/33,acc=0.52 ,0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,,,,,,,
#6932,10.1117/12.2610872,Image Transformers with Regional Attention for Classification of Aneurysm Rupture Risk without Explicit Segmentation,"Salvi, A; Finol, E; Menon, PG",2022,"MEDICAL IMAGING 2022: BIOMEDICAL APPLICATIONS IN MOLECULAR, STRUCTURAL, AND FUNCTIONAL IMAGING",Segmentation -> Diagnosis,AAA ,Retrospective,NR,NR,NR,CTA  ,CTA of aorta,Classification: high risk or low risk (in terms of rupture),30,14,Unet ,0,3-fold cross validation,67/33,acc=0.90 ,0,h,l,h,u,h,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,
#6933,10.1145/3637732.3637774,Evaluating nnU-Net for Type B Aortic Dissection segmentation on CTA images,"Assoc computing machinery; Li, YC; Gui, CZ; Li, X; Chen, TY; Song, XQ; Chen, QL; An, XW",2023,"2023 10TH INTERNATIONAL CONFERENCE ON BIOMEDICAL AND BIOINFORMATICS ENGINEERING, ICBBE 2023",Segmentation,TBAD ,Public ,NR,NR ,Public ,CTA ,CTA of aorta,"Segmentation of TL, FL and FLT ",100,,nnUnet ,0,5-fold cross validation,80/20',DC=0.75 ,1,u,l,l,u,u,1,0,1,1,1,0,1,0,0,1,1,0,,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
#6941,10.1148/ryai.210196,Evaluating the Performance of a Convolutional Neural Network Algorithm for Measuring Thoracic Aortic Diameters in a Heterogeneous Population,"Monti, CB; van Assen, M; Stillman, AE; Lee, SJ; Hoelzer, P; Fung, GSK; Secchi, F; Sardanelli, F; De Cecco, CN",2022,RADIOLOGY-ARTIFICIAL INTELLIGENCE,Quantification ,Aorta     ,Retrospective (single),2018,2019,NR,CT,Chest CT ,Aortic diameter (9 locations) + max diam   ,250,"283 (aneurysm, dissection, repair)",CNN ,0,NR,NR,"MAD=-1.5mm, p=0.48",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,,,,,,,
#6963,10.1109/BIOCAS49922.2021.9644986,AI-ASSISTED STANFORD CLASSIFICATION OF AORTIC DISSECTION IN CT IMAGING USING VOLUMETRIC 3D CNN WITH EXTERNAL GUIDED ATTENTION,"IEEE; Liou, CF; Huang, LT; Kuo, P; Wang, CK; Guo, JI",2021,2021 IEEE BIOMEDICAL CIRCUITS AND SYSTEMS CONFERENCE (IEEE BIOCAS 2021),Diagnosis,Aortic dissection ,NR,NR,NR,Multiple cardiovascular experts ,CT,CT of aorta,Classification: type A or Type B,100,N/A,Unet + external guided attention ,0,5-fold cross validation ,80/20',acc=0.992,0,h,l,l,u,h,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,,,,,,,
#6969,10.1109/BMEiCON56653.2022.10012097,Reconstruction of 3D Abdominal Aorta Aneurysm from Computed Tomographic Angiography Using 3D U-Net Deep Learning Network,"IEEE; Kongrat, S; Pintavirooj, C; Tungjitkusolmun, S",2022,2022 14TH BIOMEDICAL ENGINEERING INTERNATIONAL CONFERENCE (BMEICON 2022),Segmentation ,AAA ,Retrospective (single),2020,2022,Radiologist (semi-automatic) ,CTA ,CT of aorta ,Segmentation of AAA ,60,,Unet  ,0,NR,85/5/10',DC=0.9669,0,u,l,l,u,u,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
#6971,10.1109/isbi45749.2020.9098632,FRR-NET: FAST RECURRENT RESIDUAL NETWORKS FOR REAL-TIME CATHETER SEGMENTATION AND TRACKING IN ENDOVASCULAR ANEURYSM REPAIR,"IEEE; Zhou, YJ; Xie, XL; Hou, ZG; Bian, GB; Liu, SQ; Zhou, XH",2020,2020 IEEE 17TH INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING (ISBI 2020),Segmentation,EVAR ,Retrospective (single),NR,NR,2 experts   ,X-ray ,X-ray fluoroscopy,Segmentation of catheter in EVAR ,30 (175 images),N/A,Recurrent Residual Networks: ResNet + MobileNet ,0,NR,67/20/13,"prec=0.943, sens=0.958, f1=0.950",0,l,l,l,h,h,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
#6999,10.1007/978-3-030-30645-8_38,Automatic Segmentation Based on Deep Learning Techniques for Diabetic Foot Monitoring Through Multimodal Images,"Hernández, A; Arteaga-Marrero, N; Villa, E; Fabelo, H; Callicó, GM; Ruiz-Alzola, J",2019,"IMAGE ANALYSIS AND PROCESSING - ICIAP 2019, PT II",Segmentation,Diabetic Foot,Prospective,N/A,N/A,NR,Skin image + thermogram ,,Foot segmentation,59,,Unet ,0,NR,60/30/10',Not wel recorded,0,u,l,h,h,h,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,
#7005,10.23919/eusipco.2019.8902691,On the segmentation of plantar foot thermal images with Deep Learning,"IEEE; Bougrine, A; Harba, R; Canals, R; Ledee, R; Jabloun, M",2019,2019 27TH EUROPEAN SIGNAL PROCESSING CONFERENCE (EUSIPCO),Segmentation,Diabetic Foot (infjection),Prospective,N/A,N/A,1 expert  ,Infrared ,Infrared of feet ,Segmentation of foot,248 images,,"Ensemble: FCN, SegNet, U-Net",0,NR ,80/20',DC=0.9726,0,u,l,u,h,h,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,
#7023,10.4329/wjr.v12.i1.1,Segmentation of carotid arterial walls using neural networks,"Samber, DD; Ramachandran, S; Sahota, A; Naidu, S; Pruzan, A; Fayad, ZA; Mani, V",2020,WORLD JOURNAL OF RADIOLOGY,Segmentation,Carotid stenosis ,Retrospective ,NR,NR,1 radiologist ,MRI  ,MRI of bilateral carotids ,2 CNNs: segmentation of lumen and vessel wall ,189,N/A,CNN ,0,NR,80/10/10',"DC=0.915, correlation coefficient=0.93",0,u,l,u,h,h,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,,,,,,,
#7050,10.1007/978-3-030-32245-8_80,DeepAAA: Clinically Applicable and Generalizable Detection of Abdominal Aortic Aneurysm Using Deep Learning,"Lu, JT; Brooks, R; Hahn, S; Chen, J; Buch, V; Kotecha, G; Andriole, KP; Ghoshhajra, B; Pinto, J; Vozila, P; Michalski, M; Tenenholtz, NA",2019,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2019, PT II",Diagnosis ,AAA,Retrospective (single),2005,2017,4 CT techs and 2 radiologists ,CT ,CT abdo-pelvic (contrast and non-contrast) ,Segmentation of AAA. Then contour fit this with ellipse method. Then diagnosis if >3 cm,321,N/A,Unet,0,5-fold cross validation,80/20' ,"DC=0.90. sens=0.91, spec=0.95",1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,,,,,,,
#7057,10.3390/s23010175,Abdominal Aortic Thrombus Segmentation in Postoperative Computed Tomography Angiography Images Using Bi-Directional Convolutional Long Short-Term Memory Architecture,"Jung, YHY; Kim, S; Kim, J; Hwang, B; Lee, SM; Kim, EY; Kim, JH; Hwang, H",2023,SENSORS,Segmentation ,AAA ,Retrospective (single),2012,2020,1 radiologist ,CTA,Abdo aorta,Thrombus ROI segmentation ,60,,Bi-directional LSTM (w/ RCNN),0,4-fold cross validation,75/25',"Total overlap=0.8931, DC=0.8730, jaccard=0.7809, FN=0.1068, FP=0.1358",,l,l,l,u,u,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,,,,,,,
#7061,10.1007/978-3-030-03840-3_5,Using CNNs for Designing and Implementing an Automatic Vascular Segmentation Method of Biomedical Images,"Bruno, P; Zaffino, P; Scaramuzzino, S; De Rosa, S; Indolfi, C; Calimeri, F; Spadea, MF",2018,AI*IA 2018 - ADVANCES IN ARTIFICIAL INTELLIGENCE,Segmentation ,PAD ,Retrospective (single),NR,NR,1 expert,Cine-angiograms ,Ilio-femoral district ,Segmentation of vessel  ,30,N/A,U-Net ,0,4-fold cross-validation ,80/20',AUROC=0.988 ,0,l,l,l,h,h,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,
#7071,10.1097/RTI.0000000000000522,Fully Automated Segmentation and Shape Analysis of the Thoracic Aorta in Non-contrast-enhanced Magnetic Resonance Images of the German National Cohort Study,"Hepp, T; Fischer, M; Winkelmann, MT; Baldenhofer, S; Kuestner, T; Nikolaou, K; Yang, B; Gatidis, S",2020,JOURNAL OF THORACIC IMAGING,Segmentation ,Aorta  ,Retrospective (single),2015,2016,2 radiologist    ,MRI  ,NC-MRI ,Segmentation of aorta. Then centerline extraction + diameter (non-ML) to quantify diameter,100,,U-net,0,NR ,70/30',DC=0.85 ,0,l,l,l,u,u,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,,,,,,,
#7074,10.1088/2057-1976/ad2479,Automated prediction of diabetes mellitus using infrared thermal foot images: recurrent neural network approach,"Gulshan; Arora, AS",2024,BIOMEDICAL PHYSICS & ENGINEERING EXPRESS,Diagnosis ,Diabetic foot,Retrospective (single),NR,NR,Charts ,Thermogram,Foot thermograms,Classification: diabetic or normal,100,50,RCNN  ,0,NR,NR,acc=0.9714 ,0,l,l,l,h,h,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,,,,,,,
#7076,10.1016/j.asoc.2016.08.055,Early-stage atherosclerosis detection using deep learning over carotid ultrasound images,"Menchón-Lara, RM; Sancho-Gómez, JL; Bueno-Crespo, A",2016,APPLIED SOFT COMPUTING,Diagnosis ,Carotid stenosis,NR,NR,NR,NR,US ,US of carotid + internal jugular vein,Segmentation of LIB and MAB.  Then IMT calculation,70,N/A,Extreme machine learning auto-encoder,0,NR,54/33/13',MAE= 5.75 um,0,h,l,h,h,h,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,
#7079,10.1109/TIM.2023.3265758,RGB-D Camera-Based Automatic Wound-Measurement System,"Zhang, P; Zhang, YC; Li, Q",2023,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,Segmentation ,Leg ulcer,Public ,NR,NR,Public ,RBG-D (skin image + depth info),,Segmentation of wound. Then area measurment (not ML),1010 images ,N/A,Custom CNN,0,NR,80/20',"DC=0.86, acc=0.095",0,u,l,l,u,u,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,
#7122,,Vessel lumen segmentation in internal carotid artery ultrasounds with deep convolutional neural networks,"Xie, MY; Li, YZ; Xue, YZ; Shafritz, R; Rahimi, SA; Ady, JW; Roshan, UW",2019,2019 IEEE INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICINE (BIBM),Segmentation,Carotid stenosis,Retrospective (single),NR,NR,NR,US ,US of ICA ,Semgnetation of lumen  ,98 (302) ,N/A,Unet,0,10-fold cross validation,90/10',acc-0.95,0,u,l,l,h,h,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
